business_id,sector,business_age_years,legal_status,division,location_type,employees_count,monthly_revenue_bdt,monthly_profit_bdt,existing_loans,prior_loan_count,late_payment_history,loan_purpose,loan_amount_bdt,preferred_tenure_months,collateral_level,cashflow_stability,missed_payment_last_12m,repayment_confidence,owner_education,days_payable_outstanding,business_description,loan_purpose_description,repayment_plan_description,risk_factors_description,target_missed_payment,split
SME001,Retail,5,Partnership,Sylhet,Urban,4,683000,194358,Yes,3,Never,Expansion,722000,18,High,5,No,3,Primary,10,Electronics showroom selling TV refrigerator and appliances. Running 5 years with good sales. Installment facility available.,Wedding season and Eid coming. Need to stock inventory. These festivals generate majority of annual sales.,Festival months sales triple. Can pay monthly during peak. Manufacturers give payment credit. Have shop ownership documents.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME002,Services,11,Sole,Dhaka,Urban,3,779000,221161,Yes,1,Never,Equipment,982000,18,Low,5,Yes,3,Bachelor's,35,Family owned restaurant serving Bengali and Chinese food. Started 11 years back with good customer base. Known for quality food.,Want to expand seating and install kitchen equipment. Currently capacity limited. This will increase revenue significantly.,Restaurant generates consistent revenue. Will allocate monthly for repayment. Wedding season brings more orders. Planning delivery service.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,1,train
SME003,Manufacturing,10,Limited,Dhaka,Urban,12,603000,171305,Yes,3,Never,Equipment,1191000,15,High,3,No,4,Primary,15,Plastic products making containers bottles and household items. Supply to distributors. Running 10 years with good market.,Need more injection machines. Current capacity cannot meet demand. Have orders but producing insufficient quantity.,Distributors order monthly with regular payment. Will earn more with production increase. Ramadan season demand triples.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,test
SME004,Retail,8,Sole,Chittagong,Urban,6,796000,183126,Yes,2,Sometimes,Expansion,858000,6,High,4,Yes,5,Bachelor's,15,Licensed pharmacy selling medicines and health products. Established 8 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,1,train
SME005,Retail,4,Sole,Dhaka,Urban,20,399000,89737,No,0,Never,Inventory,544000,9,Moderate,4,No,5,Bachelor's,45,Small retail shop selling ready-made garments and accessories. Running for 4 years with steady customer base from local community.,Need working capital to purchase inventory for upcoming Eid season which generates high sales volume.,Will repay from daily sales revenue. Peak season sales will allow monthly repayment. Good cashflow during festivals.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME006,Services,15,Limited,Chittagong,Urban,20,768000,180782,Yes,1,Never,Renovation,1139000,9,Low,4,Yes,5,Master's,50,Diagnostic center offering blood tests X-ray and ultrasound. Licensed pathologist. Running 15 years with accurate reports.,Need to purchase automated equipment. Current machines slow. With automation can do more tests faster with better quality.,Daily patients steady. Can do more patients with new machines. No seasonal variation. Lab license as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,1,train
SME007,Agriculture,14,Sole,Jessore,Rural,3,392000,117450,Yes,2,Sometimes,Equipment,311000,15,High,4,No,5,Higher Secondary,50,Vegetable farming growing various vegetables for market. Use quality seeds and fertilizers. Running 14 years with good production.,Need equipment and irrigation. Want to expand acreage. With more land can supply larger volumes to markets.,Harvest season brings good income. Will pay after harvest. Multiple crops yearly. Low overhead. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME008,Manufacturing,12,Sole,Dhaka,Urban,20,728000,161072,Yes,3,Never,Renovation,738000,15,Moderate,5,No,3,Secondary,50,Plastic products making containers bottles and household items. Supply to distributors. Running 12 years with good market.,Need more injection machines. Current capacity cannot meet demand. Have orders but producing insufficient quantity.,Distributors order monthly with regular payment. Will earn more with production increase. Ramadan season demand triples.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME009,Services,11,Sole,Dhaka,Urban,20,326000,75242,No,0,Never,Equipment,353000,12,Moderate,5,No,4,Higher Secondary,15,Ladies beauty parlour providing haircut facial and bridal makeup. Opened 11 years ago with good reputation through social media.,Need money for professional equipment and products. Want to renovate and offer premium services. Can charge higher prices.,Bridal season generates double income. Will save monthly for repayment. Peak wedding season very profitable. Low overhead costs.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME010,Manufacturing,6,Limited,Gazipur,Urban,18,502000,123998,Yes,2,Never,Renovation,100000,15,Moderate,5,No,3,Master's,20,Small garments factory producing t-shirts. Supply to local brands. Running 6 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
